dataset,bucket,rule_type,candidate_count,actual_released_count,release_basis
ai2d,A,structured_selection,,751,exact alignment+missing_grounded_visual_path review bucket
geoqa_plus,A,structured_selection,,305,exact alignment+missing_grounded_visual_path review bucket
geoqa_plus,rewrite_release,explicit_candidate_subset,813,0,"explicit GeoQA-Plus rewrite-usable candidate subset; rewritten open variants are complete/verifiable/understandable, while key-condition-missing or image-recovery-dependent samples are excluded"
mm_math,A,structured_selection,,1114,exact alignment-only review bucket
mm_math,strict_rewrite_release,explicit_candidate_subset,,0,"explicit MM-Math strict rewrite-usable review candidate subset; rewritten/open variants are complete, verifiable, understandable, and exclude key-condition gaps, semantic conflicts, unusable images, answer inconsistencies, and minor ambiguity/format-risk buckets"
multi_physics,A,structured_selection,,257,exact alignment+missing_grounded_visual_path review bucket
multi_physics,B1,explicit_candidate_subset,69,123,exact alignment+missing_grounded_visual_path+split_variant_needs_review bucket with no quality_risk_flags
multi_physics,B2,explicit_candidate_subset,5,9,exact alignment+missing_grounded_visual_path+split_variant_needs_review bucket with only low_resolution risk
multi_physics,visual_grounding_rewrite_release,explicit_candidate_subset,90,0,"explicit Multi-Physics visual-grounding rewrite-usable candidate subset; non-split open rewrites are complete/verifiable/understandable, and only alignment, visual-grounding, or low-resolution style risks are allowed"
physreason,A,structured_selection,,52,exact alignment-only review bucket
seephys,A1,explicit_candidate_subset,5,7,hand-curated alignment metadata/image-reference misfire subset
