dataset,final_category,final_category_zh,count,share_pct,definition_zh,source_rule
math\geoqa_plus,geometry_angle_chasing,几何角度追踪,1435,51.88,需要运用“几何角度追踪”相关知识或解法的题目。,mapped:geometry_angle_chasing
math\geoqa_plus,geometry_length_area_volume,几何长度、面积与体积,633,22.89,需要运用“几何长度、面积与体积”相关知识或解法的题目。,mapped:geometry_length_area_volume
math\geoqa_plus,math_puzzle_logic,数学谜题与逻辑推理,290,10.48,需要运用“数学谜题与逻辑推理”相关知识或解法的题目。,refined:math_puzzle_logic
math\geoqa_plus,visual_spatial_puzzle,视觉空间与拼图推理,80,2.89,需要运用“视觉空间与拼图推理”相关知识或解法的题目。,mapped:visual_spatial_puzzle
math\geoqa_plus,number_theory_arithmetic,数论与算术,63,2.28,需要运用“数论与算术”相关知识或解法的题目。,mapped:number_theory_arithmetic
math\geoqa_plus,counting_probability_combinatorics,计数、概率与组合,60,2.17,需要运用“计数、概率与组合”相关知识或解法的题目。,mapped:counting_probability_combinatorics
math\geoqa_plus,coordinate_geometry_transform,坐标几何与变换,59,2.13,需要运用“坐标几何与变换”相关知识或解法的题目。,mapped:coordinate_geometry_transform
math\geoqa_plus,measurement_time_units,时间、单位与度量,48,1.74,需要运用“时间、单位与度量”相关知识或解法的题目。,mapped:measurement_time_units
math\geoqa_plus,sequence_pattern_logic,序列、规律与逻辑,36,1.3,需要运用“序列、规律与逻辑”相关知识或解法的题目。,mapped:sequence_pattern_logic
math\geoqa_plus,statistics_data_analysis,统计与数据分析,33,1.19,需要运用“统计与数据分析”相关知识或解法的题目。,mapped:statistics_data_analysis
math\geoqa_plus,algebra_equation_inequality,代数方程与不等式,12,0.43,需要运用“代数方程与不等式”相关知识或解法的题目。,mapped:algebra_equation_inequality
math\geoqa_plus,data_table_statistics,数据表与统计推断,10,0.36,需要运用“数据表与统计推断”相关知识或解法的题目。,refined:data_table_statistics
math\geoqa_plus,ratio_rate_application,比例、配方与应用题,5,0.18,需要运用“比例、配方与应用题”相关知识或解法的题目。,refined:ratio_rate_application
math\geoqa_plus,linear_programming_constraints,线性规划与约束最值,2,0.07,需要运用“线性规划与约束最值”相关知识或解法的题目。,mapped:linear_programming_constraints
